date,notes,region_code,region,metric,value
2025-04-01,[note 4],E92000001,England,50kW+ EV chargers per 100k,33.3128051075859
2025-04-01,[note 4],E12000001,North East,EV chargers,3438.0
2025-04-01,[note 4],E12000001,North East,50kW+ EV chargers,742.0
2025-04-01,[note 4],E12000001,North East,EV chargers per 100k,124.534625189899
2025-04-01,[note 4],E12000001,North East,50kW+ EV chargers per 100k,26.8774554656501
2025-04-01,[note 4],E12000002,North West,EV chargers,7395.0
2025-04-01,[note 4],E12000002,North West,50kW+ EV chargers,2358.0
2025-04-01,[note 4],E12000002,North West,EV chargers per 100k,95.5745679370394
2025-04-01,[note 4],E12000002,North West,50kW+ EV chargers per 100k,30.4752983361107
2025-04-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers,5783.0
2025-04-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers,1813.0
2025-04-01,[note 4],E12000003,Yorkshire and The Humber,EV chargers per 100k,101.939692174917
2025-04-01,[note 4],E12000003,Yorkshire and The Humber,50kW+ EV chargers per 100k,31.9586135073706
2025-04-01,[note 4],E12000004,East Midlands,EV chargers,5389.0
2025-04-01,[note 4],E12000004,East Midlands,50kW+ EV chargers,1734.0
2025-04-01,[note 4],E12000004,East Midlands,EV chargers per 100k,106.435422593461
2025-04-01,[note 4],E12000004,East Midlands,50kW+ EV chargers per 100k,34.2473599512084
2025-04-01,[note 4],E12000005,West Midlands,EV chargers,9083.0
2025-04-01,[note 4],E12000005,West Midlands,50kW+ EV chargers,2293.0
2025-04-01,[note 4],E12000005,West Midlands,EV chargers per 100k,146.802982413381
2025-04-01,[note 4],E12000005,West Midlands,50kW+ EV chargers per 100k,37.0603587662537
2025-04-01,[note 4],E12000006,East of England,EV chargers,8552.0
2025-04-01,[note 4],E12000006,East of England,50kW+ EV chargers,2440.0
2025-04-01,[note 4],E12000006,East of England,EV chargers per 100k,130.042610547624
2025-04-01,[note 4],E12000006,East of England,50kW+ EV chargers per 100k,37.1028963676569
2025-04-01,[note 4],E12000007,London,EV chargers,26505.0
2025-04-01,[note 4],E12000007,London,50kW+ EV chargers,2228.0
2025-04-01,[note 4],E12000007,London,EV chargers per 100k,291.592627112603
2025-04-01,[note 4],E12000007,London,50kW+ EV chargers per 100k,24.5111629204633
2025-04-01,[note 4],E12000008,South East,EV chargers,13838.0
